file_id,directinversion+masactrl|structure_distance,directinversion+masactrl|psnr_unedit_part,directinversion+masactrl|lpips_unedit_part,directinversion+masactrl|mse_unedit_part,directinversion+masactrl|ssim_unedit_part,directinversion+masactrl|clip_similarity_source_image,directinversion+masactrl|clip_similarity_target_image
212000000001,0.017381597,24.087553024291992,0.03183799237012863,0.0039016169030219316,0.9050294756889343,23.485225677490234,21.189577102661133
212000000002,0.0120820105,19.194061279296875,0.10191011428833008,0.012039095163345337,0.7114893794059753,27.516109466552734,27.443405151367188
212000000003,0.011472214,22.880260467529297,0.03407928720116615,0.005151975899934769,0.9093896746635437,18.8060359954834,19.495346069335938
212000000004,0.0071676876,21.18151092529297,0.03568325191736221,0.007618136703968048,0.9104273319244385,27.739501953125,33.924739837646484
212000000005,0.062432222,16.90985679626465,0.23998983204364777,0.0203710924834013,0.664456307888031,19.714244842529297,16.268508911132812
212000000006,0.017814506,nan,nan,nan,nan,27.626365661621094,29.97043800354004
212000000007,0.020850694,23.17871856689453,0.0826386883854866,0.00480981171131134,0.797801673412323,26.431468963623047,30.508045196533203
212000000008,0.024297247,nan,nan,nan,nan,18.980737686157227,20.356752395629883
212000000009,0.021044737,23.836977005004883,0.09049341082572937,0.004133350681513548,0.8332405686378479,20.816097259521484,25.543081283569336
213000000000,0.015534656,28.505964279174805,0.007689697202295065,0.0014105982845649123,0.9872749447822571,25.76693344116211,25.443172454833984
213000000001,0.0046356497,26.196086883544922,0.03888235241174698,0.002400994300842285,0.9160094261169434,26.518587112426758,24.478296279907227
213000000002,0.0041877143,33.52570724487305,0.011437092907726765,0.0004440472403075546,0.9846752882003784,29.55898094177246,27.337785720825195
213000000003,0.013169462,nan,nan,nan,nan,25.329113006591797,26.823291778564453
213000000004,0.04081266,17.77362632751465,0.1735171377658844,0.016696959733963013,0.4541597068309784,28.881519317626953,26.72242546081543
213000000005,0.10850818,23.575172424316406,0.05830647051334381,0.004390182439237833,0.80672687292099,29.049665451049805,27.457765579223633
213000000006,0.02946966,18.18706512451172,0.1919613778591156,0.015180759131908417,0.6333252191543579,26.673681259155273,25.549406051635742
213000000007,0.00519095,29.880826950073242,0.044798653572797775,0.0010278202826157212,0.9140033721923828,22.368358612060547,21.843833923339844
213000000008,0.01032676,23.186817169189453,0.074761301279068,0.00480085052549839,0.8148006200790405,24.974472045898438,23.310026168823242
213000000009,0.013368248,nan,nan,nan,nan,27.834779739379883,28.581310272216797
214000000000,0.014221766,nan,nan,nan,nan,28.708955764770508,25.731029510498047
214000000001,0.004763635,21.45891571044922,0.07051004469394684,0.007146744057536125,0.6896832585334778,30.50481605529785,30.242801666259766
214000000002,0.059493836,22.014450073242188,0.05828054994344711,0.006288614124059677,0.9494207501411438,28.138368606567383,23.797607421875
214000000003,0.008546214,23.42205238342285,0.09086838364601135,0.0045477296225726604,0.8205481767654419,20.61671257019043,23.386503219604492
214000000004,0.006392311,25.03045654296875,0.08998867869377136,0.0031401775777339935,0.719972550868988,29.007089614868164,28.545087814331055
214000000005,0.010420287,nan,nan,nan,nan,20.522367477416992,20.216249465942383
214000000006,0.019434221,20.157699584960938,0.1292903572320938,0.00964339729398489,0.5225488543510437,27.238357543945312,22.372766494750977
214000000007,0.0078031803,nan,nan,nan,nan,23.678987503051758,23.21813201904297
214000000008,0.017236423,nan,nan,nan,nan,20.505294799804688,20.97925567626953
214000000009,0.015073214,20.394067764282227,0.06841351836919785,0.009132572449743748,0.869076669216156,23.50614356994629,32.9608268737793
221000000000,0.037104156,17.132858276367188,0.17418551445007324,0.019351476803421974,0.6040082573890686,23.033143997192383,22.521696090698242
221000000001,0.012519014,23.852113723754883,0.07198382914066315,0.004118969198316336,0.7896150946617126,22.5202693939209,22.932205200195312
221000000002,0.0054876152,22.567401885986328,0.08392798900604248,0.005536808166652918,0.8696649074554443,26.683156967163086,24.869638442993164
221000000003,0.013305248,21.516250610351562,0.04988383874297142,0.007053015287965536,0.8250604867935181,29.21883201599121,30.245040893554688
221000000004,0.013184108,21.817264556884766,0.09603244811296463,0.006580720189958811,0.7965280413627625,27.656692504882812,24.95013427734375
221000000005,0.018041652,26.031625747680664,0.023949075490236282,0.0024936601985245943,0.9419310092926025,28.654369354248047,27.896377563476562
221000000006,0.016631944,21.23712158203125,0.056091178208589554,0.007521212100982666,0.7641938924789429,30.286901473999023,25.37270736694336
221000000007,0.00995252,nan,nan,nan,nan,27.699220657348633,23.388242721557617
221000000008,0.007882019,25.40597915649414,0.061074841767549515,0.002880062907934189,0.8932808041572571,28.008419036865234,26.181072235107422
221000000009,0.011345949,nan,nan,nan,nan,27.773752212524414,27.334373474121094
